"Effect_Size","Sample_Size","Simulation","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Small",50,28,1.43946027302282,0.0348258706467662,TRUE,1.19517552662519,0.041,TRUE,1.35774792505356,0.008,TRUE,1.1032364262039,0.298,FALSE,1.68191878017155,0.017,TRUE,0.967747386950619,0.525,FALSE,"WeightedUniFrac",1.68191878017155
"Medium",50,28,1.30921440694418,0.203980099502488,FALSE,1.08876705415674,0.188,FALSE,1.2115100997537,0.041,TRUE,0.875553025423651,0.773,FALSE,1.17660181369338,0.201,FALSE,0.916515372394957,0.647,FALSE,"BrayCurtis",1.2115100997537
"Large",50,28,1.83940942885103,0.00497512437810945,TRUE,1.70128401359972,0.001,TRUE,3.16241679619731,0.001,TRUE,1.13645860711899,0.233,FALSE,2.83399659117095,0.001,TRUE,1.2237651633187,0.136,FALSE,"BrayCurtis",3.16241679619731
"Small",100,28,1.35958816409042,0.253731343283582,FALSE,1.01674236328938,0.398,FALSE,1.00659865792872,0.443,FALSE,0.963343415311565,0.567,FALSE,1.53167189947234,0.028,TRUE,1.02606246434794,0.424,FALSE,"WeightedUniFrac",1.53167189947234
"Medium",100,28,1.36811090354982,0.298507462686567,FALSE,1.06924286931459,0.25,FALSE,1.44279617781368,0.001,TRUE,0.710413978913964,0.945,FALSE,1.13480055435567,0.251,FALSE,0.67340168424994,0.953,FALSE,"BrayCurtis",1.44279617781368
"Large",100,28,2.36920997564778,0.00497512437810945,TRUE,2.15805756842487,0.001,TRUE,4.86264134486898,0.001,TRUE,0.971189577384916,0.572,FALSE,4.54440053400732,0.001,TRUE,0.976837622986615,0.53,FALSE,"BrayCurtis",4.86264134486898
"Small",200,3,1.45374724221883,0.17910447761194,FALSE,1.07225958547323,0.23,FALSE,1.31727693353148,0.008,TRUE,1.23600084769084,0.1,FALSE,1.11424311008364,0.286,FALSE,1.23394063559394,0.139,FALSE,"BrayCurtis",1.31727693353148
"Small",200,28,1.24787644594486,0.741293532338308,FALSE,0.937792493858418,0.709,FALSE,0.957423535982428,0.654,FALSE,1.08523872617034,0.307,FALSE,0.939832891793943,0.599,FALSE,1.09904117101307,0.326,FALSE,"UnweightedUniFrac",1.09904117101307
"Medium",200,28,1.71221902003708,0.00995024875621891,TRUE,1.32914307326634,0.002,TRUE,2.07082222898241,0.001,TRUE,0.844925938723742,0.816,FALSE,2.64673571331081,0.001,TRUE,0.64719861936653,0.969,FALSE,"WeightedUniFrac",2.64673571331081
"Large",200,28,3.24955901293894,0.00497512437810945,TRUE,3.24565995351024,0.001,TRUE,8.86933844225322,0.001,TRUE,0.839933457540491,0.808,FALSE,9.9388785414406,0.001,TRUE,0.811297216531288,0.812,FALSE,"WeightedUniFrac",9.9388785414406
"Small",50,29,1.04904145061085,0.90547263681592,FALSE,0.794731983967542,0.98,FALSE,0.828174894571324,0.929,FALSE,0.891228853485502,0.718,FALSE,0.89364560602046,0.652,FALSE,0.907270102478229,0.642,FALSE,"UnweightedUniFrac",0.907270102478229
"Medium",50,29,1.22979269521719,0.482587064676617,FALSE,0.984831840406177,0.541,FALSE,1.05668401299808,0.294,FALSE,0.918258170843766,0.684,FALSE,0.909968981237982,0.638,FALSE,0.971437953771101,0.513,FALSE,"BrayCurtis",1.05668401299808
"Large",50,29,1.66492653830415,0.00497512437810945,TRUE,1.57979254844322,0.001,TRUE,2.90021121953926,0.001,TRUE,1.1082222011358,0.27,FALSE,3.67004349194579,0.001,TRUE,1.2447378941091,0.128,FALSE,"WeightedUniFrac",3.67004349194579
