"Feature","Weight","Directionality"
"sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Catonella",1.00609147428584,"Atopic_Dermatitis"
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_megaterium",1.00010157530762,"Atopic_Dermatitis"
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_sp._YNUTCM_YJ230",0.999369771704334,"Atopic_Dermatitis"
"sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_sp._Hg4-02",1.00027092813451,"Atopic_Dermatitis"
"sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae",2.29363865744815,"Psoriasis"
"sk__Bacteria;k__;p__Candidatus_Kuenenbacteria",0.99647515550978,"Atopic_Dermatitis"
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia",1.09333674169617,"Healthy"
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Aneurinibacillus",0.983435187688759,"Atopic_Dermatitis"
"sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Geminicoccaceae",1.08371468433079,"Psoriasis"
"sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium",1.04706992889848,"Psoriasis"
